Island start	Island end	Length	Method	Gene name	Gene ID	Locus	Gene start	Gene end	Strand	Product	External Annotations
1306243	1328974	22731	Predicted by at least one method	WP_016254289.1		PA14_RS06145	1306243	1306407	-1	transposase	
1306243	1328974	22731	Predicted by at least one method	WP_003124096.1		PA14_RS06150	1306410	1306970	-1	transposase	
1306243	1328974	22731	Predicted by at least one method	WP_003132006.1		PA14_RS06155	1307101	1308090	-1	hypothetical protein	
1306243	1328974	22731	Predicted by at least one method	WP_003132004.1		PA14_RS06160	1308087	1308323	-1	mercury resistance protein	
1306243	1328974	22731	Predicted by at least one method	WP_000995360.1		PA14_RS06165	1308320	1308685	-1	transcriptional regulator	
1306243	1328974	22731	Predicted by at least one method	WP_011666568.1		PA14_RS06170	1308703	1310388	-1	mercuric reductase	
1306243	1328974	22731	Predicted by at least one method	WP_003131987.1		PA14_RS06175	1310460	1310735	-1	mercuric transport protein periplasmic component	
1306243	1328974	22731	Predicted by at least one method	WP_006224622.1		PA14_RS06180	1310748	1311098	-1	mercuric transporter	
1306243	1328974	22731	Predicted by at least one method	WP_003131969.1		PA14_RS06185	1311170	1311604	1	mercuric resistance operon regulatory protein	
1306243	1328974	22731	Predicted by at least one method	WP_011666570.1		PA14_RS06190	1312074	1312361	1	hypothetical protein	
1306243	1328974	22731	Predicted by at least one method	WP_011666571.1		PA14_RS06195	1312655	1313026	1	conjugal transfer protein TrbJ	
1306243	1328974	22731	Predicted by at least one method	WP_011666572.1		PA14_RS06200	1313291	1314076	1	conjugal transfer protein TrbJ	
1306243	1328974	22731	Predicted by at least one method	WP_011666573.1		PA14_RS06205	1314094	1314369	1	entry exclusion lipoprotein TrbK	
1306243	1328974	22731	Predicted by at least one method	WP_011666574.1		PA14_RS06210	1314366	1315988	1	P-type conjugative transfer protein TrbL	
1306243	1328974	22731	Predicted by at least one method	WP_011347386.1		PA14_RS06215	1316055	1316285	1	hypothetical protein	
1306243	1328974	22731	Predicted by at least one method	WP_016254287.1		PA14_RS06220	1316504	1316842	-1	hypothetical protein	
1306243	1328974	22731	Predicted by at least one method	WP_010378957.1		PA14_RS06225	1317148	1317348	1	transcriptional regulator	
1306243	1328974	22731	Predicted by at least one method	WP_011666576.1		PA14_RS06230	1317407	1320187	1	lactate dehydrogenase	
1306243	1328974	22731	Predicted by at least one method	WP_031632349.1		PA14_RS06235	1320188	1321234	1	hypothetical protein	
1306243	1328974	22731	Predicted by at least one method	WP_016254285.1		PA14_RS06240	1321278	1323335	1	hypothetical protein	
1306243	1328974	22731	Predicted by at least one method	WP_011666578.1		PA14_RS06245	1323328	1324512	1	hypothetical protein	
1306243	1328974	22731	Predicted by at least one method	WP_016254284.1		PA14_RS06250	1324575	1324808	1	hypothetical protein	
1306243	1328974	22731	Predicted by at least one method	WP_011666579.1		PA14_RS06255	1324805	1327411	1	hypothetical protein	
1306243	1328974	22731	Predicted by at least one method	WP_003109802.1		PA14_RS06260	1328012	1328974	1	oxidoreductase	
1917630	1944257	26627	Predicted by at least one method	WP_003091575.1		PA14_RS08915	1917630	1918799	1	hypothetical protein	
1917630	1944257	26627	Predicted by at least one method			PA14_RS08920	1918863	1919513	-1	quercetin 2,3-dioxygenase	
1917630	1944257	26627	Predicted by at least one method	WP_031632378.1		PA14_RS08925	1919725	1920042	-1	hypothetical protein	
1917630	1944257	26627	Predicted by at least one method	WP_031632379.1		PA14_RS08930	1920384	1920692	-1	hypothetical protein	
1917630	1944257	26627	Predicted by at least one method	WP_003138368.1		PA14_RS08935	1922000	1922695	-1	serine recombinase	
1917630	1944257	26627	Predicted by at least one method	WP_003138370.1		PA14_RS08940	1923032	1924132	-1	hypothetical protein	
1917630	1944257	26627	Predicted by at least one method	WP_031629652.1		PA14_RS08950	1926122	1926547	-1	hypothetical protein	
1917630	1944257	26627	Predicted by at least one method	WP_003138374.1		PA14_RS08960	1927460	1928419	-1	hypothetical protein	
1917630	1944257	26627	Predicted by at least one method	WP_003138376.1		PA14_RS08965	1929042	1931366	-1	tape measure domain-containing protein	
1917630	1944257	26627	Predicted by at least one method	WP_003138378.1		PA14_RS08970	1931382	1932050	-1	hypothetical protein	
1917630	1944257	26627	Predicted by at least one method	WP_003138382.1		PA14_RS08985	1934355	1934861	-1	hypothetical protein	
1917630	1944257	26627	Predicted by at least one method	WP_003138384.1		PA14_RS08990	1935114	1935500	-1	hypothetical protein	
1917630	1944257	26627	Predicted by at least one method	WP_003138386.1		PA14_RS08995	1935570	1935905	-1	hypothetical protein	
1917630	1944257	26627	Predicted by at least one method	WP_016254256.1		PA14_RS09000	1936671	1936862	-1	hypothetical protein	
1917630	1944257	26627	Predicted by at least one method	WP_023098943.1		PA14_RS09005	1937254	1937490	1	hypothetical protein	
1917630	1944257	26627	Predicted by at least one method	WP_031632383.1		PA14_RS09010	1937833	1938234	1	hypothetical protein	
1917630	1944257	26627	Predicted by at least one method	WP_003138396.1		PA14_RS09015	1939714	1941291	-1	serine recombinase	
1917630	1944257	26627	Predicted by at least one method	WP_003091556.1		PA14_RS09020	1941322	1941585	-1	nuclease PIN	
1917630	1944257	26627	Predicted by at least one method	WP_003138398.1		PA14_RS09025	1941725	1942528	-1	ABC transporter	
1917630	1944257	26627	Predicted by at least one method	WP_003109177.1		PA14_RS09030	1942532	1943893	-1	serine protein kinase PrkA	
1917630	1944257	26627	Predicted by at least one method	WP_003091551.1		PA14_RS09035	1944036	1944257	-1	hypothetical protein	
1919505	1940811	21306	Predicted by at least one method			PA14_RS08920	1918863	1919513	-1	quercetin 2,3-dioxygenase	
1919505	1940811	21306	Predicted by at least one method	WP_031632378.1		PA14_RS08925	1919725	1920042	-1	hypothetical protein	
1919505	1940811	21306	Predicted by at least one method	WP_031632379.1		PA14_RS08930	1920384	1920692	-1	hypothetical protein	
1919505	1940811	21306	Predicted by at least one method	WP_003138368.1		PA14_RS08935	1922000	1922695	-1	serine recombinase	
1919505	1940811	21306	Predicted by at least one method	WP_003138370.1		PA14_RS08940	1923032	1924132	-1	hypothetical protein	
1919505	1940811	21306	Predicted by at least one method	WP_031629652.1		PA14_RS08950	1926122	1926547	-1	hypothetical protein	
1919505	1940811	21306	Predicted by at least one method	WP_003138374.1		PA14_RS08960	1927460	1928419	-1	hypothetical protein	
1919505	1940811	21306	Predicted by at least one method	WP_003138376.1		PA14_RS08965	1929042	1931366	-1	tape measure domain-containing protein	
1919505	1940811	21306	Predicted by at least one method	WP_003138378.1		PA14_RS08970	1931382	1932050	-1	hypothetical protein	
1919505	1940811	21306	Predicted by at least one method	WP_003138382.1		PA14_RS08985	1934355	1934861	-1	hypothetical protein	
1919505	1940811	21306	Predicted by at least one method	WP_003138384.1		PA14_RS08990	1935114	1935500	-1	hypothetical protein	
1919505	1940811	21306	Predicted by at least one method	WP_003138386.1		PA14_RS08995	1935570	1935905	-1	hypothetical protein	
1919505	1940811	21306	Predicted by at least one method	WP_016254256.1		PA14_RS09000	1936671	1936862	-1	hypothetical protein	
1919505	1940811	21306	Predicted by at least one method	WP_023098943.1		PA14_RS09005	1937254	1937490	1	hypothetical protein	
1919505	1940811	21306	Predicted by at least one method	WP_031632383.1		PA14_RS09010	1937833	1938234	1	hypothetical protein	
1919505	1940811	21306	Predicted by at least one method	WP_003138396.1		PA14_RS09015	1939714	1941291	-1	serine recombinase	
2485679	2491614	5935	Predicted by at least one method	WP_003138849.1		PA14_RS11735	2485638	2488136	1	hypothetical protein	
2485679	2491614	5935	Predicted by at least one method	WP_003138850.1		PA14_RS11740	2488133	2489428	1	ATP/GTP-binding protein	
2485679	2491614	5935	Predicted by at least one method	WP_003138851.1		PA14_RS11745	2489403	2491613	1	DEAD/DEAH box helicase	
2678167	2721432	43265	Predicted by at least one method	WP_016254220.1		PA14_RS12590	2678196	2678438	-1	hypothetical protein	
2678167	2721432	43265	Predicted by at least one method	WP_003138971.1		PA14_RS12595	2678435	2679706	-1	conjugative transfer protein TrbI	
2678167	2721432	43265	Predicted by at least one method	WP_003138972.1		PA14_RS12600	2679709	2680698	-1	P-type conjugative transfer protein TrbG	
2678167	2721432	43265	Predicted by at least one method	WP_003138973.1		PA14_RS12605	2680695	2681399	-1	conjugal transfer protein TrbF	
2678167	2721432	43265	Predicted by at least one method	WP_003138975.1		PA14_RS12610	2681412	2682782	-1	conjugal transfer protein TrbL	
2678167	2721432	43265	Predicted by at least one method	WP_016254219.1		PA14_RS12615	2682779	2683099	-1	hypothetical protein	
2678167	2721432	43265	Predicted by at least one method	WP_003138979.1		PA14_RS12620	2683111	2683836	-1	conjugal transfer protein TrbJ	
2678167	2721432	43265	Predicted by at least one method	WP_003138981.1		PA14_RS12625	2683833	2686286	-1	conjugal transfer protein TrbE	
